,description,clean_text,skill_set,joined_skills,from,to
26,"Job SummaryJForce Solutions is looking for freshers who have excellent coding skills and who can start contributing right away.Applicants who have done freelancing, multiple project and application development on their own are preferred. There will be a bond of 2 years for this position. Job location will be Vileparle west, Mumbai.Responsibilities and DutiesResponsibilities and DutiesDevelopment on multiple cutting edge technologic likeSpringboot, J2EE, Java, Tomcat, mySQLReactJSMobile App developmentSalesforce clous based developmentKey SkillsJavascript, Java, Spring, reactjs, react, Mobile, SalesforceRequired Experience and QualificationsBachelors degreeBenefitsFirst Year CTC: 2.4 Lac per annumSecond Year CTC: 3-3.6 Lac per annumMedical insuranceJob Type: Full-timeEducation:Bachelor's (Preferred)",jforce solutions looking freshers excellent coding skills start contributing right away applicants done freelancing multiple project application development preferred bond 2 year position location vileparle west mumbai responsibilities dutiesresponsibilities dutiesdevelopment multiple cutting edge technologic likespringboot j2ee java tomcat mysqlreactjsmobile app developmentsalesforce clous based developmentkey skillsjavascript java spring reactjs react mobile salesforcerequired exp qualificationsbachelors degreebenefitsfirst year ctc 2 4 lac per annumsecond year ctc 3 3 6 lac per annummedical insurancejob type full timeeducation bachelor preferred,"['tomcat', 'j2ee', 'spring', 'javascript', 'sql']",tomcat j2ee spring javascript sql,2.0,
27,"Job Summary*Position : Software Developer TraineeLocation : Sector 62, Noida LocationDuration : Fulltime with VertexPlus********Qualification- B.Tech (CSE/ ECE/ IT) 2017/18/19 BatchExperience- Fresher to 1 yearInterview Timings : 11:00 AM to 12:00 PM (Mon to Fri)Working Days- 5 DaysTraining Period- 1-2 MonthsTraining will be provided on the latest and booming technologies like Power BI, Pentaho BI, AlteryxShift - GeneralAgreement Period- 2 YearsSalary will be revised after 6 months on a performance basis.*Interview Process-Telephonic- First Round: Aptitude and Programming Round- Second Round: Technical Interview- Third Round: HR InterviewResponsibilities and DutiesJob Descriptions :1) Knowledge and hands on experience on any one programming language2) Strong understanding of programming concepts3) Good knowledge of data structure4) Excellent learning ability5) Should be willing to work in a fast pace environment6) Good communication skills are mandatoryKey SkillsGood Comminuication, experince in IT Skills , C+, C++, JavaRequired Experience and QualificationsExperience- Fresher to 1 yearQualification- B.Tech (CSE/ ECE/ IT) 2017/18/19 BatchBenefitsTraining Period- 1-2 MonthsSalary will be revised after 6 months on a performance basis.Job Type: Full-timeSalary: ₹15,000.00 /monthExperience:.Net: 1 year (Preferred)c++: 1 year (Preferred)total work: 1 year (Preferred)Java: 1 year (Preferred)Education:Bachelor's (Required)Industry:IT Operations & Helpdesk",position software developer traineelocation sector 62 noida locationduration fulltime vertexp lus qualification b tech cse ece 2017 18 19 batchexp fresher 1 yearinterview timings 11 00 12 00 pm mon fri working days 5 daystraining period 1 2 monthstraining provided latest booming technologies like power bi pentaho bi alteryxshift generalagreement period 2 year salary revised 6 months performance basis interview process telephonic first round aptitude programming round second round technical interview third round hr interviewresponsibilities dutiesjob descriptions 1 knowledge hands exp one programming language2 strong understanding programming concepts3 good knowledge data structure4 excellent learning ability5 willing work fast pace environment6 good communication skills mandatorykey skillsgood comminuication exp erince skills c c javarequired exp qualificationsexp fresher 1 yearqualification b tech cse ece 2017 18 19 batchbenefitstraining period 1 2 monthssalary revised 6 months performance basis type full timesalary 15 000 00 monthexp net 1 year preferred c 1 year preferred total work 1 year preferred java 1 year preferred education bachelor required industry operations helpdesk,['vert.x'],vert.x,2.6,
28,"Job SummaryCoding for Java based Web Application and application components.Work to Code efficiently according to Company guidelines.Responsibilities and DutiesStrong understanding of object-oriented software design, and how to Code using the best practices. Familiar with statelessness of the web, session coherency issues, scalability of dynamic Web applications and servers, and Web security.We require highly skilled and articulate Java Developers who would beJava CodingSQL Formation and Performance EvaluationIntroduction of new features and value addsKey Skills0 to1+ years of software development experience, with an emphasis on server-side Technologies like, Java, scripting languages like PHP, SQL databases (MySQL, PostgreSQL), and web application servers (e.g., JBoss, Jakarta-Tomcat, etc.). A good understanding of UNIX including Linux is highly desirable.Required Experience and QualificationsB.E./B. Tech/B. Sc.-Computer Science, IT or demonstrated equivalent experience.Master's will be an added advantage.Java Certification with thorough theoretical knowledge on.Minimum 60% marks throughout education and from CBSE/ICSE board onlyJob Types: Full-time, FresherSalary: ₹200,000.00 to ₹325,000.00 /yearEducation:Bachelor's (Required)Location:Delhi, Delhi (Required)Selection rounds:Written testHR InterviewTechnical InterviewIndustry:Software Development",coding java based web application application components work code efficiently according company guidelines responsibilities dutiesstrong understanding object oriented software design code using best practices familiar statelessness web session coherency issues scalability dynamic web applications servers web security require highly skilled articulate java developers would bejava codingsql formation performance evaluationintroduction new features value addskey skills0 to1 year software development exp emphasis server side technologies like java scripting languages like php sql databases mysql postgresql web application servers e g jboss jakarta tomcat etc good understanding unix including linux highly desirable required exp qualificationsb e b tech b sc computer science demonstrated equivalent exp master added advantage java certification thorough theoretical knowledge minimum 60 marks throughout education cbse icse board onlyjob types full time freshersalary 200 000 00 325 000 00 yeareducation bachelor required location delhi delhi required selection rounds written testhr interviewtechnical interviewindustry software development,"['tomcat', 'sql']",tomcat sql,0.0,1.0
29,"We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications.
Contribute in all phases of the development lifecycle
Write well designed, testable, efficient code
Ensure designs are in compliance with specifications
Prepare and produce releases of software components
Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review",looking java developer exp building high performing scalable enterprise grade applications contribute phases development lifecycle write well designed testable efficient code ensure designs compliance specifications prepare produce releases software components support continuous improvement investigating alternatives technologies presenting architectural review,[],,0.0,
30,"Experience : Fresher
Skills and Requirements :
Creative
Good communication skills
B.tech or MCA.
Job Description :
basic knowledge in PHP,C and C++,java script and HTML",exp fresher skills requirements creative good communication skills b tech mca description basic knowledge php c c java script html,['html'],html,0.0,
31,"Job SummaryDesignation: Java DeveloperJob Type: Full TimeEducational Qualification:  Graduate or equivalentWork Experience:  0-2 Years (Freshers are Welcome)Salary:  INR 12,000 - INR 15,000 per month**Responsibilities and Duties1. Should have good knowledge of J2SE and J2EE platform, Knowledge of Spring and Hibernate with database of of Mysql, Core & Advance Java required.2. Should have good communication skills3. Shift timing: 10:30 AM -6:30 PM (Centralized Pickup & Drop facility)4. Salary: Max Rs. 12-15K CTC (Depending upon experience)5. Immediate Joiners Preferred.Interested candidates can contact 7888096080 or can directly walk-in for interview at below mentioned address along with updated resume and mention Seema - (HR Dept) as reference.Interview Venue: Altius Customer Services Pvt. Ltd3rd Floor, B Wing,North and South Central Facility Building,Mihan SEZ, Nagpur- 441108Job Types: Full-time, Walk-InExperience:JSP: 1 year (Preferred)java: 1 year (Preferred)Education:Bachelor's (Preferred)Licence:Java SE 7 Programmer (Required)",designation java developerjob type full timeeducational qualification graduate equivalentwork exp 0 2 year freshers welcome salary inr 12 000 inr 15 000 per month responsibilities duties1 good knowledge j2se j2ee platform knowledge spring hibernate database mysql core advance java required 2 good communication skills3 shift timing 10 30 6 30 pm centralized pickup drop facility 4 salary max rs 12 15k ctc depending upon exp 5 immediate joiners preferred interested candidates contact 7888096080 directly walk interview mentioned address along updated resume mention seema hr dept reference interview venue altius customer services pvt ltd3rd floor b wing north south central facility building mihan sez nagpur 441108job types full time walk inexp jsp 1 year preferred java 1 year preferred education bachelor preferred licence java se 7 programmer required,"['j2ee', 'jsp', 'spring', 'rest', 'hibernate', 'sql']",j2ee jsp spring rest hibernate sql,0.0,2.0
32,"Job SummaryLMS Solutions (India) Pvt.Ltd. have urgent openings for the following position.JOB DESIGNATION: Software EngineerJOB LOCATION: Indore (MP)Qualification : BE/MCAExperience: FresherRequired Skills:Self-starter, proactive, positive, creative, and flexible.Java SDK 1.5+,Java EE Servlet/JSPExperience with Stateless Session Beans (EJB 3.1)Hands on experience with any ORM technologies like Hibernate orJPA,Experience using Oracle databaseDiscipline to document ideas and code in a clear, comprehensiveand organized mannerExperience troubleshooting issues in productionResponsibilities:Be a part of agile/scrum team for Virtual Show platform.Enhance the Virtual Show J2EE application platform.Build new XML APIs using JAXB and EJB3 for client-sideapplications.Build complex database-intensive reporting modules.Enhance scalability and reliability of existing applicationsProvide troubleshooting and 2nd-tier support for existingapplications.Design, implement and run automated test code and scripts.Job Type: Full-timeEducation:Bachelor's (Preferred)Language:English (Preferred)Industry:IT Operations & Helpdesk",lms solutions india pvt ltd urgent openings following position designation software engineerjob location indore mp qualification mcaexp fresherrequired skills self starter proactive positive creative flexible java sdk 1 5 java ee servlet jspexp stateless session netbeans ejb 3 1 hands exp orm technologies like hibernate orjpa exp using oracle databasediscipline document ideas code clear comprehensiveand organized mannerexp troubleshooting issues productionresponsibilities part agile scrum team virtual show platform enhance virtual show j2ee application platform build new xml apis using jaxb ejb3 client sideapplications build complex database intensive reporting modules enhance scalability reliability existing applicationsprovide troubleshooting 2nd tier support existingapplications design implement run automated test code scripts type full timeeducation bachelor preferred language english preferred industry operations helpdesk,"['beans', 'netbeans', 'j2ee', 'jsp', 'xml', 'hibernate']",beans netbeans j2ee jsp xml hibernate,0.0,
33,"Job SummaryWe at NetXs Solutions,Ahmedabad have URGENT job openings for ""Jr. JAVA Developer"" and looking for a person having knowledge and skills listed below:JSPServletsAJAXStrutsHibernateJava ScriptMicrosoft SQL ServerPlease provide following information along with your resume:Current Job Location:Willing to relocate:Current Salary:Expected Salary:Days required to Join:Note: Candidate with 6+ months of experience will be preferred.Freshers can also apply.Thanks & Regards,Sandip JobanputraNetXs SolutionsJob Type: Full-timeSalary: ₹10,000.00 to ₹20,000.00 /monthEducation:Secondary(10th Pass) (Preferred)Industry:Software Development",netxs solutions ahmedabad urgent openings jr java developer looking person knowledge skills listed jspservletsajaxstrutshibernatejava scriptmicrosoft sql serverplease provide following information along resume current location willing relocate current salary exp ected salary days required join note candidate 6 months exp preferred freshers also apply thanks regards sandip jobanputranetxs solutionsjob type full timesalary 10 000 00 20 000 00 montheducation secondary 10th pass preferred industry software development,"['ajax', 'jsp', 'servlets', 'struts', 'hibernate', 'sql']",ajax jsp servlets struts hibernate sql,0.6,
34,"Job SummaryMust have scored atleast 70% in 10th or 12th standard.Excellent written and oral communication.Must have a problem solving attitude.Strong OOP & OOAD fundamentals.Knowledge of SQL and relational database concepts.Spring and Hibernate experience a plus.Nice to have experience with HTML/CSS/JavaScript/jQuery.Responsibilities and DutiesExcellent written and oral communication.Must have a problem solving attitude.Strong OOP & OOAD fundamentals.Knowledge of SQL and relational database concepts.Spring and Hibernate experience a plus.Nice to have experience with HTML/CSS/JavaScript/jQuery.Job Type: Full-timeSalary: ₹216,000.00 to ₹300,000.00 /yearEducation:Bachelor's (Required)Industry:Software Development",must scored atleast 70 10th 12th standard excellent written oral communication must problem solving attitude strong oop ooad fundamentals knowledge sql relational database concepts spring hibernate exp plus nice exp html css javascript jquery responsibilities dutiesexcellent written oral communication must problem solving attitude strong oop ooad fundamentals knowledge sql relational database concepts spring hibernate exp plus nice exp html css javascript jquery type full timesalary 216 000 00 300 000 00 yeareducation bachelor required industry software development,"['spring', 'html', 'css', 'javascript', 'jquery', 'oop', 'hibernate', 'sql']",spring html css javascript jquery oop hibernate sql,0.0,
35,"Job SummaryJOB RESPONSIBILITIESUnderstand the structure of code and logic of already built tool in JavaTesting, modifications, establish links of the tool and provide continuous supportUnderstand functional requirements and should be able to develop technical designShould be able to take ownership of projectsCANDIDATE EXPERIENCE/SKILLSCore Java (Must)Strong in OOPs conceptsExperience in any Database Concept (SQL / Oracle etc.)Should be able to analyze complex code structures, data structures, algorithms/logicHaving good experience in any of the frameworks like Struts/ Spring/ Hibernate/ Swing etc. is a plusQUALIFICATIONSB.Tech/MCA/BCA or equivalent degreeFresher with basic Java knowledge can applyJob Types: Full-time, Part-time, InternshipSalary: ₹5,000.00 to ₹25,000.00 /monthJob Types: Full-time, Part-time, ContractSalary: ₹5,000.00 to ₹25,000.00 /monthEducation:Bachelor's (Preferred)Location:Kota, Rajasthan (Preferred)Industry:Software Development",responsibilitiesunderstand structure code logic already built tool javatesting modifications establish links tool provide continuous supportunderstand functional requirements able develop technical designshould able take ownership projectscandidate exp skillscore java must strong oops conceptsexp database concept sql oracle etc able analyze complex code structures data structures algorithms logichaving good exp frameworks like struts spring hibernate swing etc plusqualificationsb tech mca bca equivalent degreefresher basic java knowledge applyjob types full time part time internshipsalary 5 000 00 25 000 00 monthjob types full time part time contractsalary 5 000 00 25 000 00 montheducation bachelor preferred location kota rajasthan preferred industry software development,"['struts', 'spring', 'testing', 'oop', 'hibernate', 'swing', 'sql']",struts spring testing oop hibernate swing sql,0.0,
36,"Job Summary24X7 Careers is hiring for java developer fresher's [B.Tech/ B.E / MCA / MSc / BSc ( computers )] or equivalent. Experience (Preferable): 0 - 6 months ( Freshers ) Essential Requirements (Skills): Knowledge on Core Java, JSP, Servlets, AJAX, JavaScript, Struts, JSF, Design Patterns, Spring MVC framework, Hibernate.We have urgent openings for the following positions.For More Details, Contact HR: - 9030200994,9030200991,Responsibilities and DutiesDefines site objectives by analyzing user requirements; envisioning system features and functionality.Designs and develops user interfaces to internet/intranet applications by setting expectations and features priorities throughout development life cycle; determining design methodologies and tool sets; completing programming using languages and software products; designing and conducting tests.Integrates applications by designing database architecture and server scripting; studying and establishing connectivity with network systems, search engines, and information servers.Creates multimedia applications by using authoring tools.Completes applications development by coordinating requirements, schedules, and activities; contributing to team meetings; troubleshooting development and production problems across multiple environments and operating platforms.Supports users by developing documentation and assistance tools.Key SkillsJava, Java Applets, Web Programming Skills, Teamwork, Verbal Communication, Web User Interface Design, Software Requirements, Software Development Process, Object-Oriented Design (OOD), Multimedia Content Development, Software DebuggingRequired Experience and QualificationsFresher and experience also can apply for this job.BenefitsESI,PF,Rotational shiftsJob Type: Full-timeSalary: ₹13,000.00 to ₹15,000.00 /monthExperience:Programming: 1 year (Preferred)work: 1 year (Preferred)total work: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)Benefits:Provident fund (PF)Health insuranceShift allowanceIndustry:Software Development",24x7 careers hiring java developer fresher b tech b e mca msc bsc computers equivalent exp preferable 0 6 months freshers essential requirements skills knowledge core java jsp servlets ajax javascript struts jsf design patterns spring mvc framework hibernate urgent openings following positions details contact hr 9030200994 9030200991 responsibilities dutiesdefines site objectives analyzing user requirements envisioning system features functionality designs develops user interfaces internet intranet applications setting exp ectations features priorities throughout development life cycle determining design methodologies tool sets completing programming using languages software products designing conducting tests integrates applications designing database architecture server scripting studying establishing connectivity network systems search engines information servers creates multimedia applications using authoring tools completes applications development coordinating requirements schedules activities contributing team meetings troubleshooting development production problems across multiple environments operating platforms supports users developing documentation assistance tools key skillsjava java applets web programming skills teamwork verbal communication web user interface design software requirements software development process object oriented design ood multimedia content development software debuggingrequired exp qualificationsfresher exp also apply benefitsesi pf rotational shiftsjob type full timesalary 13 000 00 15 000 00 monthexp programming 1 year preferred work 1 year preferred total work 1 year preferred education secondary 10th pass preferred benefits provident fund pf health insuranceshift allowanceindustry software development,"['ajax', 'jsp', 'jsf', 'servlets', 'struts', 'spring', 'javascript', 'hibernate']",ajax jsp jsf servlets struts spring javascript hibernate,1.6,
37,"Job SummaryWE HIRE THE CANDIDATES TO IMPLEMENT IEEE PROJECTS, LIKE Java, Dotnet, PHP, Python..Responsibilities and DutiesCoding, UML Diagram Preparation, DocumentationJob Types: Full-time, Part-time, Contract, FresherSalary: ₹15,000.00 to ₹25,000.00 /monthExperience:Python Development: 1 year (Preferred)C#: 1 year (Preferred)Java Development: 1 year (Preferred)HTML: 1 year (Preferred)Education:Bachelor's (Preferred)Industry:Software Development",hire candidates implement ieee projects like java dotnet php python responsibilities dutiescoding uml diagram preparation documentationjob types full time part time contract freshersalary 15 000 00 25 000 00 monthexp python development 1 year preferred c 1 year preferred java development 1 year preferred html 1 year preferred education bachelor preferred industry software development,['html'],html,1.0,
38,"Job SummaryHello Greetings!!!We are looking JAVA Developer Fresher for an IT company....Duties may include: Designing, building and maintaining reliable and reusable Java code.Making sure the applications perform to a high level and are responsive.Identifying potential issues and finding possible solutions.Creation of multimedia applications via the use of authoring tools.Preparation and producing the release of software components.Assisting in continuous improvement by looking for alternative technologies and presenting them to the relevant individuals for reviewMandatory Required Skills: -Core JAVAJDBCServlets & JSPHibernate, SpringQualification: BE/BTECH/MCA/BCA(2018-2019 Passout)Fresher Can Also ApplyHR Pooja7747030713Address:::204, Atulya IT Park, Bhawarkua Main Rd, Indore, Madhya Pradesh 452014Job Type: FresherExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)Industry:Software Development",hello greetings looking java developer fresher company duties may include designing building maintaining reliable reusable java code making sure applications perform high level responsive identifying potential issues finding possible solutions creation multimedia applications via use authoring tools preparation producing release software components assisting continuous improvement looking alternative technologies presenting relevant individuals reviewmandatory required skills core javajdbcservlets jsphibernate springqualification btech mca bca 2018 2019 passout fresher also applyhr pooja7747030713address 204 atulya park bhawarkua main rd indore madhya pradesh 452014job type fresherexp work 1 year preferred total work 1 year preferred education secondary 10th pass preferred industry software development,"['jsp', 'servlets', 'spring', 'hibernate']",jsp servlets spring hibernate,1.0,
39,"Job SummaryAs a Software Developer and Architect, you will be responsible for designing and developing, enterprise-grade visual communication system architecture. Experience with agile development methodologies are preferred. Required skills and experiences include:0 - 1 year Core JAVA experience.Core competency of JSP, REST, SOAP, Advanced Javascript, Closure, jQuery, Nodejs.Proficiency with Apache Derby or similar.Proficiency with producing and consuming RESTful APIs.Proficiency with producing and consuming JSON and XML data structures.Familiarity with GIT workflows such as Gitflow and feature branching.Job Type / CategoryBenefitsHow can this position help you grow?As a Software Architect, you will be part of development of cutting edge technologies in the digital signage landscape. From a personal development perspective, expect to be challenged, and to grow, in a variety of technical and managerial skill sets.As Mvix pursues a larger, enterprise-level client base, you will be directly impacting our company growth, our competitive advantages in the industry.Why is Mvix such an exciting place to work?We let our accolades do the talking!-Listed in the 20 Most Promising Digital Signage Solution Providers of 2018-Voted Best in Show at InfoComm 2018 and 2017-Ranked in The 20 Best Companies to Watch in 2017 by Insights Success-Awarded Best Digital Signage Software by DIGI (2017)-Acknowledged as one of the 50 Best Workplaces of 2016 by The Silicon ReviewOur team is expanding quickly, so apply today.Required Education, Skills and QualificationsQualification Required for this position – MCA,MSC-IT,ME-M TECH,BE,BCAExperience Required for this position - 0 to 1 year as a Java Developer, FRESHER / INTERN / TRAINEE will be given a Preference.Strong verbal and written communication skills.Comfortable working in a collaborative, fast-paced work environment.The ability to iterate and ship ideas quickly, with loose (at best) direction.Above all, a desire to learn and grow with the companyBenefitsWe offer a friendly business environment with a flexible work schedule and opportunity for growth. Salaries are commensurate with educational qualifications, merit and skills.Intern/Trainee will be provided Stipend for min 6 months of Project work to be done on our company product.Apart from a good work-life balance, we also provide-- PF/ESIC benefits- Half yearly( 6 Monthly ) Appraisal System- 5-days work week.-with Saturday & Sunday Off. & many more for employee enhancement.If interested, email your updated Cv on : kpatel@mvixlabs(dot)comFor More details ,visit our wesite : www.mvixindia.com & www.mvixusa.comLocation: Surat, Gujarat**Job Type: Full-timeSalary: ₹10,000.00 to ₹15,000.00 /monthExperience:total work: 1 year (Preferred)JSP: 1 year (Preferred)java: 1 year (Preferred)Education:Bachelor's (Preferred)Licence:Java SE 7 Programmer (Preferred)Agile Experience Needed:YesIndustry:Software Development",software developer architect responsible designing developing enterprise grade visual communication system architecture exp agile development methodologies preferred required skills exp include 0 1 year core java exp core competency jsp rest soap advanced javascript closure jquery nodejs proficiency apache derby similar proficiency producing consuming restful apis proficiency producing consuming json xml data structures familiarity git workflows gitflow feature branching type categorybenefitshow position help grow software architect part development cutting edge technologies digital signage landscape personal development perspective exp ect challenged grow variety technical managerial skill sets mvix pursues larger enterprise level client base directly impacting company growth competitive advantages industry mvix exciting place work let accolades talking listed 20 promising digital signage solution providers 2018 voted best show infocomm 2018 2017 ranked 20 best companies watch 2017 insights success awarded best digital signage software digi 2017 acknowledged one 50 best workplaces 2016 silicon reviewour team exp anding quickly apply today required education skills qualificationsqualification required position mca msc tech bcaexp required position 0 1 year java developer fresher intern trainee given preference strong verbal written communication skills comfortable working collaborative fast paced work environment ability iterate ship ideas quickly loose best direction desire learn grow companybenefitswe offer friendly business environment flexible work schedule opportunity growth salaries commensurate educational qualifications merit skills intern trainee provided stipend min 6 months project work done company product apart good work life balance also provide pf esic benefits half yearly 6 monthly appraisal system 5 days work week saturday sunday many employee enhancement interested email updated cv kpatel mvixlabs dot comfor details visit wesite www mvixindia com www mvixusa comlocation surat gujarat type full timesalary 10 000 00 15 000 00 monthexp total work 1 year preferred jsp 1 year preferred java 1 year preferred education bachelor preferred licence java se 7 programmer preferred agile exp needed yesindustry software development,"['jsp', 'soap', 'rest', 'javascript', 'jquery', 'xml', 'json']",jsp soap rest javascript jquery xml json,1.6,
40,"We are looking for a talented and passionate UI/UX developer to join our team. You can present and work collaboratively on your creative ideas.
Duties and Responsibilities
Possess superior UI/UX skills to translate high-level requirements into interaction flows and then transform them into intuitive, and functional user interfaces.Understand web design plans and UI layout ideas.Create various web applications using code and visual design skills, which includes designing and creating user interface layouts and web pages.Perform usability tests and analyze the results to gauge the consumer’s experience when using web applications and online programs.Analyze user data to evaluate user interfaces for existing applications and web pages and to identify areas needing improvement.
Skills and Qualifications
Coding – Up to date knowledge of writing code using multiple web development languages, primarily HTML, Flash, CSS, and JavaAnalytical thinking – Test and analyze web applications and user data, which requires strong analytical skillsCommunication skills – Excellent verbal communication skills to give presentations and collaborate with the rest of the design teamGraphics design – Thorough understanding of various design programs, such as the Adobe Creative Suite, to create visually pleasing graphic designs for web applications and pagesCustomer service – Create web pages and applications meant to maximize the user experience.LinkedIn profile link",looking talented passionate ui ux developer join team present work collaboratively creative ideas duties responsibilities possess superior ui ux skills translate high level requirements interaction flows transform intuitive functional user interfaces understand web design plans ui layout ideas create various web applications using code visual design skills includes designing creating user interface layouts web pages perform usability tests analyze results gauge consumer exp using web applications online programs analyze user data evaluate user interfaces existing applications web pages identify areas needing improvement skills qualifications coding date knowledge writing code using multiple web development languages primarily html flash css javaanalytical thinking test analyze web applications user data requires strong analytical skillscommunication skills excellent verbal communication skills give presentations collaborate rest design teamgraphics design thorough understanding various design programs adobe creative suite create visually pleasing graphic designs web applications pagescustomer service create web pages applications meant maximize user exp linkedin profile link,"['rest', 'html', 'css']",rest html css,0.0,
41,"About the company:
We are IITK based startup working on a 'one-for-all' solution for a range of problems faced by students. Campus Haat is a hyperlocal community platform where all the students, professors, residents, local vendors can join, participate, and eventually benefit each other. We aim to minimize the cost of education by providing better resources at an affordable price. Our main area of focus is resource sharing (P-2-P), academics, food, transportation, and accommodation. We are creating a mobile & web solution aimed to solve problems using a combination of online-offline approach.
About the internship/job:
We are looking for passionate Java developers who want to solve real-world problems using the latest technologies, someone who wants to keep learning and push the limits to make a real-life impact. Selected intern's day-to-day responsibilities include: 1. Design and develop a scalable and robust system/web-services to be used by mobile and web applications (Android/iOS/web) 2. Design and create database models (both relational/MySQL and NoSQL/DynamoDB) 3. Design and create REST API 4. Create test cases, write scripts, including edge cases 5. Fix bugs and work on performance optimizations
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 31st Oct'19 and 6th Dec'19
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Categories: Java,Software Development,Computer Science,Engineering",company iitk based startup working one solution range problems faced students campus haat hyperlocal community platform students professors residents local vendors join participate eventually benefit aim minimize cost education providing better resources affordable price main area focus resource sharing p 2 p academics food transportation accommodation creating mobile web solution aimed solve problems using combination online offline approach internship looking passionate java developers want solve real world problems using latest technologies someone wants keep learning push limits make real life impact selected intern day day responsibilities include 1 design develop scalable robust system web services used mobile web applications android ios web 2 design create database models relational mysql nosql dynamodb 3 design create rest api 4 create test cases write scripts including edge cases 5 fix bugs work performance optimizations apply students freshers apply available part time internship may part time office part time home work home online relevant skills interests start part time internship 31st oct 19 6th dec 19 available duration 3 months already graduated currently year study females willing start restart career may also apply number internships jobs available 2 categories java software development computer science engineering,"['rest', 'android', 'sql']",rest android sql,0.3,
42,"JOB DESCRIPTION:
Candidate must have strong knowledge of JAVA/J2EE and Spring and some other related stuff.
DESIRED SKILLS & EXPERIENCE :
Knowledge in JAVA/J2EE and Spring, Oracle/SQL & Good Aptitude
Hybris Exposure, Hibernate Knowledge, JavaScript/JQuery
Good communication & logical skills required
Notice period: 15 to 25 days
SEND YOUR CV TO
mail@technarayana.com or support@technarayana.com",description candidate must strong knowledge java j2ee spring related stuff desired skills exp knowledge java j2ee spring oracle sql good aptitude hybris exp osure hibernate knowledge javascript jquery good communication logical skills required notice period 15 25 days send cv mail technarayana com support technarayana com,"['j2ee', 'spring', 'javascript', 'jquery', 'hibernate', 'sql']",j2ee spring javascript jquery hibernate sql,0.0,
43,"Java Developer Jobs In GlobalEdx Posted On 18th November 2019Company Name: GlobalEdx Designation: Java Developer Education : Any Graduate,Any Post Graduate Location: Experience: Fresher Salary: Rs.14000 - Rs.16000 (per annum) JOB PROFILE: GlobalEdx is hiring JAVA Programmer Under Train and Hire Program.All Graduates are Eligible.GlobalEdx provides Complete JAVA Training and places you in MNC Client Companies.JAVA Programming is growing fast in the present Software Industry. So, companies are hiring JAVA programmer which is leading to lots of job opportunities for students, job seekers, and professionals. One can have a very bright career and future in JAVA. Contact Email: info@globaledx.comRegardsTeam GlobalEdx#java#Javatraining #javascriptdeveloper#javascriptbasicsWalkin Date : 25-11-2019 Walkin Address : 1st floor, Bidarkota apartment, Above Apollo Pharmacy, Shloka college Building, Sr Nagar, HyderabadFull Time",java developer jobs globaledx posted 18th november 2019company name globaledx designation java developer education graduate post graduate location exp fresher salary rs 14000 rs 16000 per annum profile globaledx hiring java programmer train hire program graduates eligible globaledx provides complete java training places mnc client companies java programming growing fast present software industry companies hiring java programmer leading lots opportunities students seekers professionals one bright career future java contact email info globaledx comregardsteam globaledx java javatraining javascriptdeveloper javascriptbasicswalkin date 25 11 2019 walkin address 1st floor bidarkota apartment apollo pharmacy shloka college building sr nagar hyderabadfull time,['javascript'],javascript,0.0,
44,"Job SummaryShould have good knowledge of the Java/J2EE based development. Very strong in Java programming languageResponsibilities and Duties- Design, development of custom solutions for our client on Java and related technologies.- Learning new tools needed for the project- Follow best practices in software development and testing- Needs to have excellent debugging skills in Java, Spring, Angular JS, Javascript and related technologies- Needs to have excellent verbal and written communication skills- Needs to be a team player with a positive attitude and with a passion for continuous improvement in technical competencies, communication and productivityRequired Experience, Skills and QualificationsCandidate should have good knowledge of the followingsLanguages and platforms: Java, J2EE, Spring ,MySQL, Rest based web-applications, HTML, CSS, automated and functional testing.Job Type: Full-timeEducation:Bachelor's (Preferred)Industry:Software Development",good knowledge java j2ee based development strong java programming languageresponsibilities duties design development custom solutions client java related technologies learning new tools needed project follow best practices software development testing needs excellent debugging skills java spring angular js javascript related technologies needs excellent verbal written communication skills needs team player positive attitude passion continuous improvement technical competencies communication productivit year equired exp skills qualificationscandidate good knowledge followingslanguages platforms java j2ee spring mysql rest based web applications html css automated functional testing type full timeeducation bachelor preferred industry software development,"['j2ee', 'spring', 'rest', 'html', 'css', 'javascript', 'testing', 'angular', 'sql']",j2ee spring rest html css javascript testing angular sql,,
